192.0000	299.0000
191.1667	295.9167
192.4167	293.0833
194.7500	290.7500
197.0833	289.5833
199.8333	290.7500
202.0833	291.9167
204.2500	292.6667
207.2500	292.5833
210.8333	290.8333
213.8333	288.8333
216.3333	286.5833
218.7500	284.9167
221.3333	282.8333
223.9167	280.5833
226.9167	280.5000
229.5000	281.0833
232.3333	282.0833
234.9167	283.5833
238.0000	284.4167
240.8333	284.1667
243.2500	282.7500
246.9167	281.7500
250.4167	281.7500
253.6667	283.9167
256.5833	284.7500
259.5000	284.3333
260.6667	282.7500
260.4167	281.0000
259.6667	278.0833
258.6667	274.6667
259.7500	271.4167
259.9167	268.5000
259.3333	266.0833
257.7500	263.5000
256.8333	261.0000
255.9167	258.3333
