261.2500	387.8750
260.5000	385.6250
260.2500	384.3750
259.3750	383.6250
258.8750	383.0000
257.6250	381.3750
257.2500	380.6250
256.8750	379.2500
256.8750	378.0000
256.6250	376.7500
256.3750	375.1250
256.1250	374.3750
255.1250	373.3750
253.7500	371.6250
253.7500	370.7500
253.1250	368.8750
253.1250	366.7500
251.6250	365.1250
251.5000	363.5000
251.5000	361.6250
251.5000	360.5000
249.7500	359.1250
248.7500	358.3750
247.3750	356.8750
246.8750	355.2500
246.1250	354.0000
246.2500	353.0000
246.6250	352.2500
247.5000	351.7500
247.7500	349.7500
247.7500	348.3750
246.5000	347.0000
245.0000	346.8750
243.2500	346.1250
242.3750	345.5000
241.0000	344.1250
240.3750	342.2500
240.3750	340.0000
240.5000	338.3750
240.0000	335.8750
240.1250	334.0000
240.1250	332.8750
240.1250	330.8750
239.8750	328.3750
239.6250	327.1250
239.2500	325.2500
239.0000	323.8750
238.2500	322.2500
236.6250	320.3750
235.8750	319.0000
234.3750	317.5000
234.1250	316.0000
232.8750	315.0000
231.2500	314.3750
229.7500	313.3750
229.0000	312.5000
